,Kategori Wilayah,Kode Wilayah,Nama Wilayah
488,Kelurahan,1102092016,Amaliah
489,Kelurahan,1102092017,Sebudi Jaya
490,Kelurahan,1102092018,Gumpang
491,Kelurahan,1102092019,Kute Gekhat
492,Kelurahan,1102092020,Paye Khambung
493,Kelurahan,1102092021,Mbak Sako
494,Kelurahan,1102092022,Darul Imami
495,Kelurahan,1102092023,Rikit Bur II
496,Kelurahan,1102092024,Kute Empat Lima
497,Kelurahan,1102102001,Simpang Semadam
498,Kelurahan,1102102002,Semadam Awal
499,Kelurahan,1102102003,Semadam Asal
500,Kelurahan,1102102004,Lawe Kinga Gabungan
501,Kelurahan,1102102005,Lawe Kinga Tebing Tinggi
502,Kelurahan,1102102006,Kebun Sere
503,Kelurahan,1102102007,Lawe Beringin Horas
504,Kelurahan,1102102008,Lawe. Berigin Gayo
505,Kelurahan,1102102009,Suka Makmur
506,Kelurahan,1102102010,Pasar Puntung
507,Kelurahan,1102102011,Titi Pasir
508,Kelurahan,1102102012,Lawe Petanduk I
509,Kelurahan,1102102013,Ngkeran Alur Buluh
510,Kelurahan,1102102014,Kampung Baru
511,Kelurahan,1102102015,Sepakat Segenap
512,Kelurahan,1102102016,Selamat Indah
513,Kelurahan,1102102017,Lawe Kinge Lapter
514,Kelurahan,1102102018,Lawe Mejile
515,Kelurahan,1102102019,Lawe Petanduk-II
516,Kelurahan,1102112004,Titi Mas
517,Kelurahan,1102112005,Meranti
518,Kelurahan,1102112006,Kute Lang-Lang
519,Kelurahan,1102112007,Lawe Sumur
520,Kelurahan,1102112008,Pardamaian
521,Kelurahan,1102112009,Salim Pipit
522,Kelurahan,1102112010,Penguhapan
523,Kelurahan,1102112011,Lumban Tua
524,Kelurahan,1102112012,Mutiara Damai
525,Kelurahan,1102112013,Dolok Nauli
526,Kelurahan,1102112014,Tuhi Jongkat
527,Kelurahan,1102112015,Uning Sigugur
528,Kelurahan,1102112016,Lumban Sitio-tio
529,Kelurahan,1102112017,Lawe Malum
530,Kelurahan,1102112018,Alur Baning
531,Kelurahan,1102112019,Lingga Alas
532,Kelurahan,1102112020,Khambung  Tumbung
533,Kelurahan,1102112021,Tuah Mesade
534,Kelurahan,1102112022,Sumukh Alas
535,Kelurahan,1102112023,Alukh Bakhu
536,Kelurahan,1102112024,Sepekhinding
537,Kelurahan,1102112025,Tanoh Subukh
538,Kelurahan,1102112026,Pinggan Mbelang
539,Kelurahan,1102112027,Sigai Indah
540,Kelurahan,1102112028,Ukekh Deleng
541,Kelurahan,1102112029,Alas Mesikhat
542,Kelurahan,1102112030,Titi Hakhapen
543,Kelurahan,1102122001,Aunan Sepakat
544,Kelurahan,1102122002,Lawe Penanggalan
545,Kelurahan,1102122003,Lawe Mengkudu
546,Kelurahan,1102122004,Jambur Lak-lak
547,Kelurahan,1102122005,Simpang Tiga Jongar
548,Kelurahan,1102122006,Jongar Asli
549,Kelurahan,1102122007,Ketambe
550,Kelurahan,1102122008,Rumah Bundar
551,Kelurahan,1102122009,Penyeberangan Cingkam
552,Kelurahan,1102122010,Deleng Damar
553,Kelurahan,1102122011,Bintang Bener
554,Kelurahan,1102122012,Suka Rimbun
555,Kelurahan,1102122013,Lawe Aunan
556,Kelurahan,1102122014,Bener Bepapah
557,Kelurahan,1102122015,Penungkunen
558,Kelurahan,1102122016,Datok Pining
559,Kelurahan,1102122017,Kati Maju
560,Kelurahan,1102122018,Leuser
561,Kelurahan,1102122019,Jati Sara
562,Kelurahan,1102122020,Bukit Mbakhu
563,Kelurahan,1102122021,Kayu Metangur
564,Kelurahan,1102122022,Lawe Sembekan
565,Kelurahan,1102122023,Lawe Beringin
566,Kelurahan,1102122024,Lawe Ger-Ger
567,Kelurahan,1102122025,Simpur Jaya
568,Kelurahan,1102132001,Salang Baru
569,Kelurahan,1102132002,Ranto Dior
570,Kelurahan,1102132003,Lembah Alas
571,Kelurahan,1102132004,Tenembak Lang-Lang
572,Kelurahan,1102132005,Salang Sigotom
573,Kelurahan,1102132006,Tualang Lama
574,Kelurahan,1102132007,Gusung Batu
575,Kelurahan,1102132008,Kaya Pangur
576,Kelurahan,1102132009,Sepakat
577,Kelurahan,1102132010,Lawe Pangkat
578,Kelurahan,1102132011,Bunga Melur
579,Kelurahan,1102132012,Penampaan
580,Kelurahan,1102132013,Terutung Mbelang
581,Kelurahan,1102132014,Salang Muara
582,Kelurahan,1102132015,Lawe Hakhum
583,Kelurahan,1102132016,Tanoh Khukahen
584,Kelurahan,1102132017,Tading Ni Ulihi
585,Kelurahan,1102132018,Peseluk Pesimbe
586,Kelurahan,1102132019,Kane Lot
587,Kelurahan,1102132020,Muhajirin
588,Kelurahan,1102132021,Beriring Naru
589,Kelurahan,1102132022,Kati  Jeroh
590,Kelurahan,1102142001,Terutung Megara Lawe Pasaran
591,Kelurahan,1102142002,Kisam Gabungan
592,Kelurahan,1102142003,Kisam Kute Pasir
593,Kelurahan,1102142004,Lawe Sumur
594,Kelurahan,1102142005,Lawe Sumur Baru
595,Kelurahan,1102142006,Kute Lesung
596,Kelurahan,1102142007,Berandang
597,Kelurahan,1102142008,Kute Bunin
598,Kelurahan,1102142009,Buah Pala
599,Kelurahan,1102142010,Panosan
600,Kelurahan,1102142011,Lawe Pasaran Tengku Mbelin
601,Kelurahan,1102142012,Terutung Megahke MBakhu
